author,title,url,category,tags,replies,views,last_activity,scraped_at
Beth Snyder,Faire Is Doing Fulfillment?,/t/faire-is-doing-fulfillment/86921,Channels,"['b2b', 'experience-share', 'wholesale']",7,26,2m,2025-06-02T13:23:05.650664
Dana Eriksson,Welcome Thomas Ferris - Clucking into DTC with Roostys,/t/welcome-thomas-ferris-clucking-into-dtc-with-roostys/86931,Delta Cohort,[],0,1,6m,2025-06-02T13:23:05.650670
Noah Chanin,"My First AI Coding Project, Looking for Advice on Speeding up Development",/t/my-first-ai-coding-project-looking-for-advice-on-speeding-up-development/86917,SAAS Apps and Software,['ai'],8,27,16m,2025-06-02T13:23:05.650672
DonCole,Editions.dev Ramblings,/t/editions-dev-ramblings/86924,Shopify,[],2,15,24m,2025-06-02T13:23:05.650673
Nate Dadosky,What Cybersecurity Protection Do You Have in Place?,/t/what-cybersecurity-protection-do-you-have-in-place/86847,Employees,[],2,33,43m,2025-06-02T13:23:05.650678
JeffRasmussen,Klaviyo Suddenly Inflating Number Of Profiles,/t/klaviyo-suddenly-inflating-number-of-profiles/82309,SAAS Apps and Software,[],97,685,1h,2025-06-02T13:23:05.650679
Michael Jelliff 🏓,eBay Customers Using the Empty Envelope Return Scam,/t/ebay-customers-using-the-empty-envelope-return-scam/47574,eBay,['returns'],49,583,1h,2025-06-02T13:23:05.650681
RobHampton,How We Run EOS L10 Meetings & Track Rocks in ClickUp (Loom + SOP + Template),/t/how-we-run-eos-l10-meetings-track-rocks-in-clickup-loom-sop-template/85378,Team,['traction-eos'],4,86,1h,2025-06-02T13:23:05.650682
Jeremy Roberts,Checkout Started (Abandoned) Flow - What Are Your Send Filter Settings?,/t/checkout-started-abandoned-flow-what-are-your-send-filter-settings/86893,Email Marketing,[],2,29,1h,2025-06-02T13:23:05.650683
Kaylin Marcotte Roche,From 15% to 36% Open Rates - Our Customer Research Playbook,/t/from-15-to-36-open-rates-our-customer-research-playbook/85216,Email Marketing,"['agency', 'ai', 'experience-share']",9,195,2h,2025-06-02T13:23:05.650684
Melita Cyril,Bid Cap Whatsapp Group?,/t/bid-cap-whatsapp-group/81210,Not Visible to Vendors (Store Owners Only),[],35,282,2h,2025-06-02T13:23:05.650685
EricBandholz,"Well, I Got Sued Again, This Time for Patent Infringement",/t/well-i-got-sued-again-this-time-for-patent-infringement/86687,Legal,['patents'],57,775,2h,2025-06-02T13:23:05.650686
